eventtype,tick,timestamp,taskid,object,value,src
EVT_TASK_CREATE,0,0,esp_timer,Killer,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,Flush,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,Bus,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,Cycle,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,printer,0,TASK
EVT_TASK_CREATE,0,0,esp_timer,IDLE,0,TASK
traceTASK_SWITCHED_IN,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_OUT,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_OUT,0,0,esp_timer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,Killer,0x0,0,TASK
EVT_TASK_DELAY,0,0,Killer,0x0,30000,TASK
traceTASK_SWITCHED_OUT,0,0,Killer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,printer,0x0,0,TASK
traceTASK_SWITCHED_OUT,0,0,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,Bus,0x0,0,TASK
EVT_QUEUE_SEND,0,0,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,0,0,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,0,0,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,0,0,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,0,0,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,0,0,printer,0x3ffb7f8c,0,TASK
EVT_TASK_INCREMENT_TICK,0,0,printer,0x0,1,TASK
EVT_TASK_INCREMENT_TICK,1,1000,printer,0x0,2,TASK
EVT_TASK_INCREMENT_TICK,2,2000,printer,0x0,3,TASK
EVT_TASK_INCREMENT_TICK,3,3000,printer,0x0,4,TASK
EVT_TASK_INCREMENT_TICK,4,4000,printer,0x0,5,TASK
EVT_TASK_INCREMENT_TICK,5,5000,printer,0x0,6,TASK
EVT_QUEUE_SEND,6,6000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,6,6000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,6,6000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,6,6000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,6,6000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,6,6000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,6,6000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,6,6000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,6,6000,printer,0x3ffb6a9c,0,TASK
EVT_TASK_INCREMENT_TICK,6,6000,printer,0x0,7,TASK
EVT_TASK_INCREMENT_TICK,7,7000,printer,0x0,8,TASK
EVT_TASK_INCREMENT_TICK,8,8000,printer,0x0,9,TASK
EVT_TASK_INCREMENT_TICK,9,9000,printer,0x0,10,TASK
EVT_TASK_INCREMENT_TICK,10,10000,printer,0x0,11,TASK
EVT_TASK_INCREMENT_TICK,11,11000,printer,0x0,12,TASK
EVT_QUEUE_SEND,12,12000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,12,12000,printer,0x3ffb68cc,0,TASK
